reason,source,nft_id,original_name,metadata_urls
leading-underscore,namesdao,nft1uu887xjd8awz76t6mewqa3yxzly3gl3yxtwyrfgtg6zj9yzq3g5q7glevp,_a01kcrypro,https://storage1.xchstorage.cyou/namesdao/_a01kcrypro-4099196.json|https://storage2.xchstorage.cyou/namesdao/_a01kcrypro-4099196.json|ipfs://bafyreihi56ctxlnvb3zvvfayifwzfclbttrvrub72imuftsiaf3spe6eau/metadata.json
leading-underscore,namesdao,nft1uuqa3cwtw8c8v48zxw8k5zwks6tfjsd296er5tsgrfza2p63rewsu24kck,___thisisgoingnicely,https://storage1.xchstorage.cyou/namesdao/___thisisgoingnicely-4064552.json|ipfs://bafyreidqkhufyflymb7vt6dkenrgqoy7y5fok5esc3ob7rjmveant5jijm/metadata.json
leading-underscore,namesdao,nft1uuwt9hw95xn5nlty4t0jq8qzj6qdgvqskv5dt99a89af9wk7xn8sqga3tp,_darmokandjaladattanagra,https://storage1.xchstorage.cyou/namesdao/_darmokandjaladattanagra-4092910.json|https://storage2.xchstorage.cyou/namesdao/_darmokandjaladattanagra-4092910.json|ipfs://bafyreiau2x6s7rcpsjk3vdfslpk5gkmog4wavr5nl44lllpx2axaac3dbu/metadata.json
leading-underscore,namesdao,nft1uuz7ncwdgfg6dk69mfy40h6n64xsrdw0f99k4wc7yxtmjkh782wsfe83d9,_90000,https://storage1.xchstorage.cyou/namesdao/_90000-4857612.json|https://storage2.xchstorage.cyou/namesdao/_90000-4857612.json|ipfs://bafyreicafk74xzsi2tri6ct6eyhbvtttrl7r4l5pjyyzvbnw4of52fnr4a/metadata.json
leading-underscore,namesdao,nft1uv5rjazttz8vfvykt2jxw5szkwtc0l5rdnllt7gnj2f0e2ze8dlqe0r768,___topholder,https://storage1.xchstorage.cyou/namesdao/___topholder-4071233.json|ipfs://bafyreiblxlkf46v2i6l7tu57a3747kxeqy4psifxn3t2kapxnfj7gxrhr4/metadata.json
leading-underscore,namesdao,nft1uv6mcnen5dr2gjwxhhq8yjvnetxejkuax6vzqxxd05jgdg653ztsxe9cnl,_trader80n20,https://storage1.xchstorage.cyou/namesdao/_trader80n20-4098873.json|https://storage2.xchstorage.cyou/namesdao/_trader80n20-4098873.json|ipfs://bafyreic4rywy4t7bvnqnahnyr7ovw3xrza4orarj4wfz7gx4jb3e43pwru/metadata.json
leading-underscore,namesdao,nft1uv7lcusf524cmj84xwgg2vyqzj0w7nuattes56p7l4t3euh0na4sara736,___metaverse,https://storage1.xchstorage.cyou/namesdao/___metaverse-6322542.json|https://storage2.xchstorage.cyou/namesdao/___metaverse-6322542.json|ipfs://bafyreicyxmjri2hrd24mz2igotqjhbrbf3dbbrbmlvayxr5na5rfr2cwvy/metadata.json
leading-underscore,namesdao,nft1uvfzq7597d6d260gwp287uzk50u030320vsymkjw8hwe22xak27qsatr45,___blackjack,https://storage1.xchstorage.cyou/namesdao/___blackjack-4071353.json|ipfs://bafyreibsqjhf5irtydlvyme7l7lmfvgzhes3xuiei33vgwgvck4zoyyi6u/metadata.json
leading-underscore,namesdao,nft1uvhhsmqeyejw5a8fy797n68r4mka7fe9yqum957wh0kxdcr5yyqqv4dy0y,___oracle,https://storage1.xchstorage.cyou/namesdao/___oracle-4953042.json|https://storage2.xchstorage.cyou/namesdao/___oracle-4953042.json|ipfs://bafyreif7uqlcbhl5x37ek7oxzpjpltnowhpxsm3imfwl75mnunst4bigeu/metadata.json
leading-underscore,namesdao,nft1uvmrmhxsv2cycunqh35jgh2kk3yvkgeuglyqguu8g32kfkpqn9qq265kcw,___honestfarmers,https://storage1.xchstorage.cyou/namesdao/___honestfarmers-4071219.json|ipfs://bafyreicjvw3vqiml4pqrqk4h2w4bi4ihd3lcu4klkc5xhscxf6lgwbllpe/metadata.json
leading-underscore,namesdao,nft1uvmur3y4uy9qnwqxgjlk2n3wt92pem3ha2m70avngh7twdrsvv2qt4k3td,_jackpot,https://storage1.xchstorage.cyou/namesdao/_jackpot-4096836.json|https://storage2.xchstorage.cyou/namesdao/_jackpot-4096836.json|ipfs://bafyreih2f2fe2nsiiqjop4ha2qida7p2rcjw2kw7im55t6yegnfo2nilbq/metadata.json
leading-underscore,namesdao,nft1uvv79pkgw3wz7ywwa46mug37xp7e5vyn23ehh00ekfkul09du6wsretyn7,_chiagreen,https://storage1.xchstorage.cyou/namesdao/_chiagreen-4293870.json|https://storage2.xchstorage.cyou/namesdao/_chiagreen-4293870.json|ipfs://bafyreid4une4fa5n5hkjnltvtynbamh24dunsmlxrdqdv2ty2fpafejjy4/metadata.json
leading-underscore,namesdao,nft1uvy5pz4udc0qr5glu7fsuzwtthfyjaszkcj6ld0c824md8vlvhvqs94lvr,___carboncredit,https://storage1.xchstorage.cyou/namesdao/___carboncredit-4784245.json|https://storage2.xchstorage.cyou/namesdao/___carboncredit-4784245.json|ipfs://bafyreicnfd7byfj4nxwxm5l65nppksdnrsvnzuzxviiil7praujvtykuhi/metadata.json
